ticker,market_group,L_past,L_future,discovered_states,statistical_complexity,runtime_seconds,error
EWU,developed,6,8,4,0.014598008675710381,23.731801915999768,
EWU,developed,6,9,4,0.014601725854690176,25.42273762500008,
EWU,developed,6,10,4,0.0146054450329715,25.886377666000044,
EWU,developed,7,2,3,0.0075767432608135,24.972223332999874,
EWU,developed,7,3,4,0.014583159919966709,26.634261582999898,
EWU,developed,7,4,3,0.007580616315453904,25.266446832999918,
EWU,developed,7,5,4,0.011373653243773488,24.491134167000382,
EWU,developed,7,6,4,0.011376561846959806,22.43756004199986,
EWU,developed,7,7,4,0.011379472018247206,24.93107295799973,
EWU,developed,7,8,4,0.011382383758928595,24.344115625000086,
EWU,developed,7,9,4,0.011385297070296665,26.408054916999845,
EWU,developed,7,10,3,0.007592260556664526,24.291791791999913,
EWU,developed,8,2,3,0.007578679266693568,26.362060750000182,
EWU,developed,8,3,3,0.007580616315453904,25.707466458,
EWU,developed,8,4,3,0.007582554407953625,25.403827250000177,
EWU,developed,8,5,5,0.021603617202867152,23.114682667000125,
EWU,developed,8,6,4,0.01459800867571039,25.13471508299972,
EWU,developed,8,7,3,0.007588374956489686,23.301539457999752,
EWU,developed,8,8,3,0.007590317232553552,24.88052791700011,
EWU,developed,8,9,4,0.014609166212198422,24.661163665999993,
EWU,developed,8,10,4,0.011391128410280029,25.666945958999804,
EWU,developed,9,2,3,0.007580616315453904,25.352098124999884,
EWU,developed,9,3,3,0.007582554407953625,26.10261604199968,
EWU,developed,9,4,3,0.00758449354505187,24.252967249999983,
EWU,developed,9,5,3,0.007586433727610031,24.93601691599997,
EWU,developed,9,6,3,0.007588374956489686,23.37015129199972,
EWU,developed,9,7,4,0.011385297070296663,23.204641959000128,
EWU,developed,9,8,4,0.014609166212199222,23.749920457999906,
EWU,developed,9,9,4,0.011391128410280029,26.347649999999703,
EWU,developed,9,10,4,0.011394046441488979,24.59621049999987,
EWU,developed,10,2,3,0.007582554407953625,25.10754116699991,
EWU,developed,10,3,3,0.00758449354505187,24.239005500000076,
EWU,developed,10,4,4,0.01459800867571039,24.886152207999658,
EWU,developed,10,5,3,0.007588374956489688,23.800593458000094,
EWU,developed,10,6,3,0.007590317232553552,23.69162958400011,
EWU,developed,10,7,3,0.007592260556664526,21.257257874999596,
EWU,developed,10,8,3,0.007594204929688099,20.57871908399966,
EWU,developed,10,9,3,0.007596150352489452,19.06621958400001,
EWU,developed,10,10,3,0.007598096825935087,13.641053542000009,
EWZ,emerging,2,2,8,0.03910594295380907,29.382503416999498,
EWZ,emerging,2,3,8,0.039115840847007484,28.716564125000332,
EWZ,emerging,2,4,8,0.039125744038056826,29.72614608299955,
EWZ,emerging,2,5,6,0.03777283008871732,28.76006116700046,
EWZ,emerging,2,6,4,0.032708742267663043,29.427494374999696,
EWZ,emerging,2,7,5,0.033864052287756456,27.227514707999944,
EWZ,emerging,2,8,4,0.026869524294270707,29.02601929100001,
EWZ,emerging,2,9,10,0.04696994820277469,28.84093666700028,
EWZ,emerging,2,10,5,0.03388964267466693,23.205961916999513,
EWZ,emerging,3,2,2,0.003784564030960091,26.209936582999944,
EWZ,emerging,3,3,6,0.03134063781292659,27.543303500000548,
EWZ,emerging,3,4,5,0.027779367674654335,27.51459154099939,
EWZ,emerging,3,5,6,0.034785896080116,28.298949250000078,
EWZ,emerging,3,6,3,0.010791377896737772,26.628733167000064,
EWZ,emerging,3,7,7,0.03237914272093396,28.25081175000014,
EWZ,emerging,3,8,5,0.031022976753197637,27.25625725000009,
EWZ,emerging,3,9,8,0.04240124885449159,23.10698549999961,
EWZ,emerging,3,10,7,0.0386209974519551,21.232292791999498,
EWZ,emerging,4,2,3,0.007570941491880121,27.1728881250001,
EWZ,emerging,4,3,4,0.014572044265481188,26.495164125000883,
EWZ,emerging,4,4,3,0.01400235299984957,27.53442854199966,
EWZ,emerging,4,5,3,0.0075767432608135,25.6378624580002,
EWZ,emerging,4,6,4,0.014583159919966712,29.047857333000138,
EWZ,emerging,4,7,4,0.01458686911815572,26.243036167000355,
EWZ,emerging,4,8,3,0.007582554407953625,24.25255466699946,
EWZ,emerging,4,9,3,0.010802344218478132,21.229062082999917,
EWZ,emerging,4,10,3,0.01402362613693989,25.576192792000256,
EWZ,emerging,5,2,3,0.007572874374263213,24.762385791999804,
EWZ,emerging,5,3,4,0.011362034486240692,26.147939999999835,
EWZ,emerging,5,4,3,0.0075767432608135,24.56846987500012,
EWZ,emerging,5,5,4,0.011367840736541216,25.808352625000225,
EWZ,emerging,5,6,4,0.01137074620739723,26.6583365839997,
EWZ,emerging,5,7,4,0.011373653243773499,26.08650329200009,
EWZ,emerging,5,8,4,0.0113765618469598,23.86620404199948,
EWZ,emerging,5,9,4,0.011379472018247051,25.08966566700019,
EWZ,emerging,5,10,3,0.007588374956489686,24.31910599999992,
EWZ,emerging,6,2,4,0.011362034486240694,25.563555708999957,
EWZ,emerging,6,3,4,0.011364936829918165,23.678394874999867,
EWZ,emerging,6,4,4,0.011367840736541217,25.333303249999517,
EWZ,emerging,6,5,4,0.01137074620739723,26.068556833000002,
EWZ,emerging,6,6,4,0.011373653243773499,26.55321550000008,
EWZ,emerging,6,7,4,0.011376561846959798,24.042322541999965,
EWZ,emerging,6,8,3,0.00758643372761003,25.512287249999645,
EWZ,emerging,6,9,3,0.007588374956489686,24.291304124999442,
EWZ,emerging,6,10,3,0.007590317232553552,25.17398349999985,
EWZ,emerging,7,2,4,0.011364936829918165,23.299391958999877,
EWZ,emerging,7,3,4,0.011367840736541216,25.552331875000164,
EWZ,emerging,7,4,4,0.01137074620739723,25.91088858400053,
EWZ,emerging,7,5,4,0.011373653243773499,24.397406166999644,
EWZ,emerging,7,6,4,0.011376561846959798,23.106615042000158,
EWZ,emerging,7,7,4,0.011379472018247051,25.248824041999796,
EWZ,emerging,7,8,3,0.007588374956489686,24.729130124999756,
EWZ,emerging,7,9,3,0.007590317232553552,25.762292708000132,
EWZ,emerging,7,10,3,0.007592260556664526,24.202759458999935,
EWZ,emerging,8,2,4,0.011367840736541217,25.059919166000327,
EWZ,emerging,8,3,4,0.01137074620739723,25.056275084000845,
EWZ,emerging,8,4,4,0.011373653243773499,25.699262875000386,
EWZ,emerging,8,5,4,0.011376561846959798,23.331999707999785,
EWZ,emerging,8,6,4,0.014598008675711593,25.675505166999756,
EWZ,emerging,8,7,4,0.011382383758928595,24.713851040999543,
EWZ,emerging,8,8,4,0.011385297070296665,25.28314708400012,
EWZ,emerging,8,9,4,0.011388211953648383,23.37102629200035,
EWZ,emerging,8,10,3,0.007594204929688099,26.150644499999544,
EWZ,emerging,9,2,4,0.014586869118155318,25.046883875000276,
EWZ,emerging,9,3,3,0.007582554407953625,25.39991795900005,
EWZ,emerging,9,4,4,0.011376561846959798,24.11025462499947,
EWZ,emerging,9,5,4,0.011379472018247051,25.01551387499967,
EWZ,emerging,9,6,4,0.011382383758928595,24.239558833000046,
EWZ,emerging,9,7,3,0.007590317232553552,24.80397716600055,
EWZ,emerging,9,8,4,0.011388211953648383,23.857401707999998,
EWZ,emerging,9,9,4,0.011391128410280029,26.02274208400013,
EWZ,emerging,9,10,4,0.011394046441488979,24.173737207999693,
EWZ,emerging,10,2,3,0.007582554407953625,26.16698533300041,
EWZ,emerging,10,3,3,0.00758449354505187,23.538631833999716,
EWZ,emerging,10,4,4,0.011379472018247051,25.115132625000115,
EWZ,emerging,10,5,4,0.011382383758928595,24.197936042000038,
EWZ,emerging,10,6,4,0.011385297070296665,24.569451916000617,
EWZ,emerging,10,7,3,0.007592260556664526,22.7985920000001,
EWZ,emerging,10,8,4,0.011391128410280029,21.255027665999478,
EWZ,emerging,10,9,4,0.011394046441488979,19.537029084000096,
EWZ,emerging,10,10,4,0.011396966048575737,16.09951375000037,
INDA,emerging,2,2,5,0.02476449067012921,29.662944083000184,
INDA,emerging,2,3,6,0.03454332254345271,28.27610445800019,
INDA,emerging,2,4,5,0.03362220268333013,30.40491316600037,
INDA,emerging,2,5,5,0.024783294059913596,28.769742459000554,
INDA,emerging,2,6,5,0.0306425310746331,29.409051874999932,
INDA,emerging,2,7,10,0.04051908954330772,28.467653083000187,
INDA,emerging,2,8,8,0.03916540986764769,29.371557833000224,
INDA,emerging,2,9,3,0.017012374539498696,28.483772542000224,
INDA,emerging,2,10,5,0.0245980275830421,26.950648125000043,
INDA,emerging,3,2,8,0.032911007063743364,27.171272042000055,
INDA,emerging,3,3,3,0.019846072512932914,27.657353957999476,
INDA,emerging,3,4,4,0.023993701769239192,27.52465900000061,
INDA,emerging,3,5,5,0.03399607741550522,28.14830508399973,
INDA,emerging,3,6,7,0.04157900490354941,27.104037791999872,
INDA,emerging,3,7,6,0.03480347645815229,27.962370583000848,
INDA,emerging,3,8,4,0.03287399895214591,27.34680570800083,
INDA,emerging,3,9,5,0.0306734300737907,24.067753583000012,
INDA,emerging,3,10,7,0.04101815091728053,24.15222300000005,
INDA,emerging,4,2,4,0.014568343021903636,27.223299917000077,
INDA,emerging,4,3,4,0.011359133704223352,27.300556541000333,
INDA,emerging,4,4,4,0.011362034486240692,27.624642499999936,
INDA,emerging,4,5,4,0.011364936829918165,26.350916084000346,
INDA,emerging,4,6,3,0.00757867926669357,28.17887141599931,
